benchmark,model,baseline,is_rate,delta_pp,ci_low_pp,ci_high_pp,p_mcnemar,n_paired
longmem,Mistral 12B,selfcheckgpt,73.33333333333333,20.0,10.0,31.666666666666664,0.0018310546875,60
longmem,Mistral 12B,tot,73.33333333333333,5.660377358490567,-1.8867924528301887,15.09433962264151,0.375,53
longmem,Qwen 7B,direct,76.66666666666667,6.666666666666667,1.6666666666666667,13.333333333333334,0.125,60
longmem,Qwen 7B,self_refine,76.66666666666667,10.0,1.6666666666666667,18.333333333333332,0.0703125,60
longmem,Qwen 7B,reflexion,76.66666666666667,0.0,-6.666666666666667,6.666666666666667,1.0,60
longmem,Qwen 7B,full_regen,76.66666666666667,10.0,3.3333333333333335,18.333333333333332,0.03125,60
longmem,Qwen 7B,react,76.66666666666667,13.333333333333334,5.0,21.666666666666668,0.0078125,60
longmem,Qwen 7B,selfcheckgpt,76.66666666666667,1.6666666666666667,-3.3333333333333335,8.333333333333332,1.0,60
musique,Llama 8B,direct,91.66666666666666,15.0,6.666666666666667,25.0,0.00390625,60
musique,Llama 8B,self_refine,91.66666666666666,25.0,15.0,36.666666666666664,6.103515625e-05,60
musique,Llama 8B,reflexion,91.66666666666666,1.6666666666666667,-3.3333333333333335,8.333333333333332,1.0,60
musique,Llama 8B,full_regen,91.66666666666666,15.0,5.0,25.0,0.01171875,60
musique,Llama 8B,react,91.66666666666666,25.0,15.0,36.666666666666664,6.103515625e-05,60
musique,Llama 8B,selfcheckgpt,91.66666666666666,40.0,28.333333333333332,51.66666666666667,1.1920928955078125e-07,60
musique,Llama 8B,tot,91.66666666666666,20.0,10.0,30.0,0.00048828125,60
musique,Llama 70B,direct,96.66666666666667,13.333333333333334,5.0,23.333333333333332,0.0078125,60
musique,Llama 70B,self_refine,96.66666666666667,18.333333333333332,10.0,28.333333333333332,0.0009765625,60
musique,Llama 70B,reflexion,96.66666666666667,0.0,-5.0,5.0,1.0,60
musique,Llama 70B,full_regen,96.66666666666667,15.0,6.666666666666667,25.0,0.00390625,60
